2020-05-04 19:21:15 Debug: Notice (8): Undefined index: Section in [C:\wamp\www\ser\api\controllers\special_subjects_controller.php, line 25]
2020-05-04 19:36:12 Debug: Notice (8): Undefined variable: student in [C:\wamp\www\ser\api\controllers\special_subjects_controller.php, line 20]
2020-05-05 14:01:01 Debug: Notice (8): Undefined index: YearLevel in [C:\wamp\www\ser\api\controllers\special_subjects_controller.php, line 22]
2020-05-05 14:01:01 Debug: Notice (8): Undefined index: YearLevel in [C:\wamp\www\ser\api\controllers\special_subjects_controller.php, line 23]
2020-05-05 14:01:01 Debug: Notice (8): Undefined index: Program in [C:\wamp\www\ser\api\controllers\special_subjects_controller.php, line 25]
2020-05-05 14:01:14 Debug: Notice (8): Undefined index: YearLevel in [C:\wamp\www\ser\api\controllers\special_subjects_controller.php, line 22]
2020-05-05 14:01:14 Debug: Notice (8): Undefined index: YearLevel in [C:\wamp\www\ser\api\controllers\special_subjects_controller.php, line 23]
2020-05-05 14:01:14 Debug: Notice (8): Undefined index: Program in [C:\wamp\www\ser\api\controllers\special_subjects_controller.php, line 25]
2020-05-05 14:02:31 Debug: Notice (8): Undefined index: YearLevel in [C:\wamp\www\ser\api\controllers\special_subjects_controller.php, line 22]
2020-05-05 14:02:31 Debug: Notice (8): Undefined index: YearLevel in [C:\wamp\www\ser\api\controllers\special_subjects_controller.php, line 23]
2020-05-05 14:02:31 Debug: Notice (8): Undefined index: Program in [C:\wamp\www\ser\api\controllers\special_subjects_controller.php, line 25]
2020-05-05 14:22:39 Debug: Notice (8): Undefined index: YearLevel in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 27]
2020-05-05 14:22:39 Debug: Notice (8): Undefined index: YearLevel in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 28]
2020-05-05 14:22:39 Debug: Notice (8): Undefined index: Program in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 30]
2020-05-05 14:22:45 Debug: Notice (8): Undefined index: YearLevel in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 27]
2020-05-05 14:22:45 Debug: Notice (8): Undefined index: YearLevel in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 28]
2020-05-05 14:22:45 Debug: Notice (8): Undefined index: Program in [C:\wamp\www\ser\api\controllers\delinquent_students_controller.php, line 30]
2020-05-11 18:55:44 Debug: Notice (8): Undefined variable: teachers in [C:\wamp\www\ser\api\controllers\users_controller.php, line 17]
2020-05-11 18:55:44 Debug: Notice (8): Undefined variable: teachers in [C:\wamp\www\ser\api\controllers\users_controller.php, line 35]
2020-05-11 18:55:46 Debug: Notice (8): Undefined variable: teachers in [C:\wamp\www\ser\api\controllers\users_controller.php, line 17]
2020-05-11 18:55:46 Debug: Notice (8): Undefined variable: teachers in [C:\wamp\www\ser\api\controllers\users_controller.php, line 35]
2020-05-11 18:55:49 Debug: Notice (8): Undefined variable: teachers in [C:\wamp\www\ser\api\controllers\users_controller.php, line 17]
2020-05-11 18:55:49 Debug: Notice (8): Undefined variable: teachers in [C:\wamp\www\ser\api\controllers\users_controller.php, line 35]
